Date,Open,High,Low,Adj Close,Close,Volume
2020-03-05,208.2,211.9,203.65,208.1,204.4,2414347
2020-03-04,211.35,213.0,204.7,211.15,208.1,3541106
2020-03-04,211.35,213.0,204.7,211.15,208.1,3541106
2020-03-04,211.35,213.0,204.7,211.15,208.1,3541106
2020-03-04,211.35,213.0,204.7,211.15,208.1,3541106
2020-03-03,203.9,212.2,203.65,202.25,211.15,4549626
2020-03-03,203.9,212.2,203.65,202.25,211.15,4549626
2020-03-03,203.9,212.2,203.65,202.25,211.15,4549626
2020-03-03,203.9,212.2,203.65,202.25,211.15,4549626
2020-03-03,203.9,212.2,203.65,202.25,211.15,4549626
2020-03-03,203.9,212.2,203.65,202.25,211.15,4549626
2020-03-03,203.9,212.2,203.65,202.25,211.15,4549626
2020-03-02,208.6,216.55,199.8,205.05,202.25,5187934
2020-02-28,207.75,209.4,203.25,211.6,205.05,7650031
2020-02-27,213.6,215.15,210.5,213.6,211.6,3753324
2020-02-26,211.9,216.05,210.05,211.6,213.6,6034979
2020-02-25,211.0,214.0,209.3,209.9,211.6,6147428
2020-02-24,206.85,212.7,202.0,205.4,209.9,7946307
2020-02-20,204.95,210.25,200.1,205.8,205.4,3826080
2020-02-19,202.25,206.4,201.7,200.85,205.8,1630613
2020-02-19,202.25,206.4,201.7,200.85,205.8,1630613
2020-02-19,202.25,206.4,201.7,200.85,205.8,1630613
2020-02-19,202.25,206.4,201.7,200.85,205.8,1630613
2020-02-19,202.25,206.4,201.7,200.85,205.8,1630613
2020-02-19,202.25,206.4,201.7,200.85,205.8,1630613
2020-02-19,202.25,206.4,201.7,200.85,205.8,1630613
2020-02-18,203.25,203.6,197.75,203.8,200.85,4007197
2020-02-17,205.35,206.35,202.3,205.65,203.8,1397181
2020-02-14,208.4,212.25,205.0,208.55,205.65,3183445
2020-02-13,210.6,211.45,207.9,211.4,208.55,1177002
2020-02-12,212.0,214.0,210.25,212.0,211.4,3036372
2020-02-11,208.1,213.45,208.0,207.1,212.0,4444457
2020-02-10,209.8,210.8,206.15,209.8,207.1,1734578
2020-02-07,207.6,212.0,207.15,207.5,209.8,1957283
2020-02-06,207.25,209.25,204.55,206.4,207.5,3569538
2020-02-05,206.9,208.75,205.2,206.8,206.4,4000586
2020-02-04,202.8,210.0,202.45,200.75,206.8,3761981
2020-02-03,196.05,202.45,196.05,195.35,200.75,4031740
2020-02-01,204.1,207.75,194.0,204.5,195.35,3301796
2020-01-31,210.55,211.75,203.5,209.9,204.5,2906515
2020-01-30,214.15,214.2,208.7,214.05,209.9,2971434
2020-01-29,216.75,218.25,213.25,216.15,214.05,3410299
2020-01-28,215.8,220.25,214.05,215.55,216.15,5093967
2020-01-27,214.6,218.9,214.3,215.95,215.55,2903622
2020-01-24,214.1,216.9,212.6,213.65,215.95,3540793
2020-01-23,210.0,214.95,209.45,210.35,213.65,4656562
2020-01-22,208.9,212.2,208.3,207.6,210.35,3780055
2020-01-21,206.0,209.9,205.7,207.05,207.6,3142796
2020-01-20,211.4,211.75,206.65,210.4,207.05,1743715
2020-01-17,209.65,212.4,208.6,209.75,210.4,1968147
2020-01-16,213.5,214.4,209.1,212.05,209.75,3126006
2020-01-15,209.0,212.9,206.65,209.3,212.05,3359831
2020-01-14,212.2,212.45,208.8,211.5,209.3,3725008
2020-01-13,212.6,214.8,210.65,211.75,211.5,2628821
2020-01-10,208.55,214.0,206.8,207.95,211.75,5362463
2020-01-09,203.9,209.3,203.85,201.65,207.95,5537880
2020-01-08,196.0,204.6,195.65,199.0,201.65,4943334
2020-01-07,198.1,202.55,196.7,196.9,199.0,3557312
2020-01-06,202.85,202.85,196.35,203.4,196.9,2119702
2020-01-03,204.95,205.8,202.25,205.35,203.4,2007973
2020-01-02,197.35,206.4,197.2,197.0,205.35,8633553
2020-01-01,197.2,197.75,195.8,196.25,197.0,1459556
2019-11-08,203.2,204.9,200.0,203.2,202.25,2181870
2019-11-07,203.5,205.0,201.75,202.25,203.2,2560585
2019-11-06,201.95,203.75,199.9,201.55,202.25,1636076
2019-11-05,203.85,204.35,200.5,203.35,201.55,2190913
2019-11-04,203.0,206.7,202.15,201.6,203.35,4243318
2019-11-01,203.0,204.0,199.8,202.3,201.6,2770430
2019-10-31,202.0,203.0,199.2,200.6,202.3,2177954
2019-10-30,199.8,203.7,199.65,199.2,200.6,2471767
2019-10-29,197.9,200.0,196.9,197.55,199.2,2409517
2019-10-27,197.65,198.9,197.0,197.45,197.55,178702
2019-10-25,198.2,199.1,195.3,197.65,197.45,2875494
2019-10-24,198.0,199.45,194.5,196.8,197.65,3930744
2019-10-23,196.0,197.8,193.1,195.9,196.8,2890392
2019-10-22,205.0,205.4,192.5,207.65,195.9,9355044
2019-10-18,208.05,209.8,206.2,206.9,207.65,3446793
2019-10-17,203.0,208.2,202.05,202.7,206.9,3304474
2019-10-16,199.2,203.1,198.7,196.95,202.7,3790120
2019-10-15,194.9,198.5,194.0,194.05,196.95,2661814
2019-10-14,189.85,195.3,188.75,189.2,194.05,2856315
2019-10-11,189.15,190.75,186.85,188.0,189.2,2290001
2019-10-10,191.3,191.7,186.85,192.35,188.0,1878899
2019-10-09,185.5,193.35,184.1,185.95,192.35,3360027
